feature,importance
Days_in_Pipeline__c,1.5666728528639666
Proposal_Sent__c,1.0754814089870388
Days_Since_Last_Activity__c,0.5807727787229008
rating_encoded,0.3497145245890873
engagement_composite,0.2815198153818709
Demo_Requested__c,0.23613653890529898
Annual_Revenue_MCZK__c,0.11434223899766505
Time_to_First_Response_h__c,0.11172659233893545
Email_Open_Rate__c,0.1110055422688436
Web_Interactions__c,0.09783439939687916
rating_x_meetings,0.06289489460973803
Region_Name_Praha,0.05348185415040903
CZ_NACE_Section_I,0.05239632135526461
total_calls_and_meets,0.04833188915910088
CZ_NACE_Section_A,0.047688389915799496
Company_Age_Years,0.04604022385420244
activity_density,0.043378984014256335
CZ_NACE_Section_M,0.04288223632751498
NumberOfEmployees,0.03637523996176676
LeadSource_Cold Call,0.03031765247072232
CZ_NACE_Section_J,0.029359003375750165
Emails_Sent__c,0.02520509000653458
meet_x_proposal,0.02303330966770481
LeadSource_Event,0.022489554159610462
Chatbot_Interactions__c,0.021797109633599945
created_month,0.020868654870313655
Calls_Made__c,0.018859009002736685
LeadSource_Web,0.017611136927080436
Region_Name_Moravskoslezský,0.017120329952598445
Form_Submissions__c,0.016293193590682018
LeadSource_Referral,0.014920774657316232
CZ_NACE_Section_G,0.014135254632158891
Content_Downloads__c,0.012869175541515782
LeadSource_Other,0.009097713526787687
CZ_NACE_Section_Q,0.00872697529957701
CZ_NACE_Section_F,0.008723220286100213
created_year,0.008327355487313197
Email_Clicks__c,0.008244259938009375
LeadSource_LinkedIn,0.007191310560583255
LinkedIn_Viewed__c,0.006621499815049782
Region_Name_Liberecký,0.00652927626460357
CZ_NACE_Section_S,0.006453055764776264
Meetings_Held__c,0.005435097327547396
Region_Name_Pardubický,0.005345813617416402
created_day_of_week,0.004664705398455304
email_quality,0.0045230839006149895
Region_Name_Královéhradecký,0.003912504779754997
Email_Opens__c,0.0037788790659614275
LeadSource_Email Campaign,0.0035083067588183594
CZ_NACE_Section_L,0.0028146606860568572
LeadSource_Partner,0.002786006044635281
Rating_Warm,0.002534873061777122
Region_Name_Olomoucký,0.0022702153086541477
Region_Name_Jihomoravský,0.0020184991688587256
CZ_NACE_Section_N,0.001863780448927353
CZ_NACE_Section_H,0.0015054046132940008
CZ_NACE_Section_D,0.0013759401111966886
Legal_Form_Code_121,0.0013008737211234812
Region_Name_Plzeňský,0.0012677840670463326
Legal_Form_Code_112,0.0012405960960229002
Region_Name_Karlovarský,0.001063425283756809
Region_Name_Jihočeský,0.0007042516606308576
Size_Band_Medium,0.0006391543989452619
CZ_NACE_Section_P,0.0005722289711752645
Rating_Cold,0.000558121547542284
Legal_Form_Code_105,0.0005577989629971253
Region_Name_Zlínský,0.0005154438888362664
CZ_NACE_Section_C,0.00045262873394924465
Region_Name_Kraj Vysočina,0.0003052220672101653
CZ_NACE_Section_R,0.0001222245884666044
log1p_ttfr,0.0
created_quarter,0.0
CZ_NACE_Section_E,0.0
fast_response_flag,0.0
log1p_web,0.0
log1p_revenue,0.0
log1p_days_since,0.0
pipeline_maturity,0.0
meetings_capped,0.0
CZ_NACE_Section_B,0.0
recency_tier,0.0
Region_Name_Středočeský,0.0
Region_Name_Ústecký,0.0
Size_Band_Large,0.0
Size_Band_Small,0.0
Legal_Form_Code_811,0.0
Size_Band_Enterprise,0.0
Rating_Hot,0.0
